XLK/TECL 2008-12-18..2026-09-02,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr
B&H TECL (3x),0.4515925944368724,0.6691684368305696,0.8752904149930892,-0.7795820895522384,26.26776187463665,1.723594651427709,1.0,0.0
B&H XLK (1x),0.2113056201346064,0.22291717794572052,0.9137630968543838,-0.3355586788475057,7.89870266258602,2.681481271164027,1.0,0.0
trend → TECL,0.29343952746355617,0.5017839106894656,0.7422917197945293,-0.690632557818124,21.469731097310348,1.3700746625358429,0.7150235796092522,2.0938693015944305
gate → TECL,0.24547214264349093,0.4131466542243778,0.7090072993833314,-0.5539121838329706,19.0952855454842,1.2885739336702384,0.5929710307657758,1.6128452728497642
graded → TECL,0.2652282441672633,0.4253522011860403,0.7376712143121797,-0.585096348343868,18.95151943390078,1.4028682338705518,0.6394565461486639,1.3298899618234898
"trend → XLK (1x, reference)",0.13662342738669997,0.16562275477969793,0.777563126613709,-0.29171633032009003,6.546269750940074,2.0917975107867868,0.7150235796092522,2.0938693015944305
