TLT/TMF 2009-04-17..2026-09-02,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr
B&H TMF (3x),-0.0650131175473917,0.4474630155353994,0.04329503076709181,-0.931321084864392,52.16484537896792,-0.12484312540466595,1.0,0.0
B&H TLT (1x),0.0164458095586395,0.1499535244793677,0.09321284052586476,-0.4835396736072026,21.64060233475746,0.0761306034363106,1.0,0.0
trend → TMF,-0.014455934590631547,0.3106981924598388,0.06478464041833884,-0.6602501679906825,39.96967758081132,-0.03623072579918432,0.4181152790484904,1.7291857273559013
gate → TMF,-0.01770494818491708,0.2133557551541803,-0.040854495271853405,-0.6253440555127168,36.07246635374217,-0.0491676064878926,0.3174748398902104,1.5850869167429096
graded → TMF,0.00020227807595851743,0.23827174707060747,0.06303668337379127,-0.5442159719548976,30.003472699763208,0.0006753741724027253,0.4876486733760293,1.1816102470265326
"trend → TLT (1x, reference)",0.017875176463209685,0.10398435479458125,0.09180182571340559,-0.2067049770883279,12.275166245555754,0.14588037049609276,0.4181152790484904,1.7291857273559013
