SPY/UPRO 2009-06-26..2026-09-02,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr
B&H UPRO (3x),0.32784572778418175,0.510665024024417,0.7887749615194101,-0.7681535269709544,21.590785178353233,1.521855003688939,1.0,0.0
B&H SPY (1x),0.1511966486796983,0.17058060927043803,0.8320839384564945,-0.33717009273069176,6.200765140081909,2.443454859080545,1.0,0.0
trend → UPRO,0.26834450573798097,0.364594658357996,0.8000800129151328,-0.5190615835777135,16.762895974561747,1.6043338117426968,0.7069164931760351,1.5739070090215128
gate → UPRO,0.2069013254859411,0.2890306902763143,0.7506090709025991,-0.519061583577713,13.562266417728846,1.5288312577849705,0.5637288919731668,1.340735600277585
graded → UPRO,0.21874970153211848,0.30252274959890424,0.7626415492060957,-0.519061583577713,13.034871164509756,1.6817974227055372,0.6244506130002313,1.1075641915336571
"trend → SPY (1x, reference)",0.11348126148925419,0.1220841743630992,0.830871248614431,-0.18613348676639785,5.267371484158328,2.15885239253512,0.7069164931760351,1.5739070090215128
