GLD/UGL 2010-11-22..2026-09-02,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr
B&H UGL (2x),0.07603525259737487,0.3374329818390245,0.34347098443272406,-0.7592105263157887,52.39974938269651,0.1454400954890891,1.0,0.0
B&H GLD (1x),0.0731476604298138,0.16754786859194715,0.4170901506891714,-0.45555013814399503,24.000548809518836,0.3054754473060217,1.0,0.0
trend → UGL,0.0668533259673425,0.2658307460000309,0.3219089736148209,-0.605150330011826,41.19622779276937,0.1626521135260824,0.5362903225806451,2.032258064516129
gate → UGL,0.0699359051906423,0.20613766628227576,0.35961301991988276,-0.5730858031610189,37.27499480470398,0.18805209375634127,0.4380040322580645,1.9369959677419355
graded → UGL,0.0708272971246171,0.21883859950089507,0.35496547289857194,-0.6308200968668763,42.687810687007826,0.16630019622776449,0.5612399193548387,1.4924395161290323
"trend → GLD (1x, reference)",0.05721088198965463,0.1316230249268205,0.3760269192098967,-0.3260830692420229,19.57665982931036,0.2929069856464289,0.5362903225806451,2.032258064516129
