IWM/TNA 2008-11-06..2026-09-02,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr
B&H TNA (3x),0.11358938968615928,0.7091931157986912,0.4945974426329061,-0.8808746736292424,42.27562769882318,0.26928834441160054,1.0,0.0
B&H IWM (1x),0.1176867451797663,0.2388869451853863,0.5311616330443409,-0.411359285258455,11.521329177579876,1.0237562673774747,1.0,0.0
trend → TNA,0.13661963627795615,0.43622721757694866,0.4832045157881805,-0.7056414922656963,25.258467701724246,0.5421079419199178,0.5243195002231147,1.4056224899598395
gate → TNA,0.10050950886381438,0.38033336366654985,0.409412739676492,-0.6264084296875974,26.336655184428796,0.38248179244943914,0.46251673360107093,1.349397590361446
graded → TNA,0.10537679446821135,0.41581308682008467,0.4197800469764418,-0.721389395152329,34.308249709928674,0.3078312820612664,0.5920348058902276,1.0682730923694779
"trend → IWM (1x, reference)",0.07832633405365241,0.14642953350302687,0.4987823182435881,-0.28919265271251593,7.306505481591169,1.0743670489442019,0.5243195002231147,1.4056224899598395
