EEM/EDC 2009-04-17..2026-09-02,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr
B&H EDC (3x),0.008905300443648123,0.6535367946696413,0.3237687292559823,-0.9253989466236938,69.76589054581099,0.012787213703216177,1.0,0.0
B&H EEM (1x),0.07317081898690958,0.2211794159240431,0.3692901313302907,-0.39812829011503215,17.098838981992127,0.4287121603394102,1.0,0.0
trend → EDC,0.033332636902689616,0.45174370288598836,0.2709686616045574,-0.7968075079142731,60.91790403997028,0.05481563581964978,0.5551235132662397,2.2479414455626716
gate → EDC,0.023307275430321184,0.4109767894608058,0.230881947200001,-0.7728060086555534,57.01977155131702,0.040948876899074914,0.4975983531564501,2.2191216834400733
graded → EDC,0.000835936390812142,0.45475076863128006,0.201543016472661,-0.8254783505388982,59.61273550082274,0.0014047582212078937,0.6715462031107045,1.4698078682525162
"trend → EEM (1x, reference)",0.04836769034544197,0.1532243628528639,0.29686992939890416,-0.35507031684932455,19.852200518737973,0.24407992007556506,0.5551235132662397,2.2479414455626716
