panel,signal,vehicle,estimator,gate,start,days,Sharpe,Martin,MaxDD,CAGR,RealVol,|vol-target|,TrackRMSE63,Turnover/yr,MeanW
P1 1x,SPY,SPY,E0 EWMA c2c,none,1999-01-27,6944,0.47223034985251444,0.788382579843605,-0.26880877642696865,0.06424026711536812,0.0990948053530065,0.0009051946469935124,0.015750041413673605,2.06143835122865,0.6871625396722528
P1 1x,SPY,SPY,E0 EWMA c2c,trend,1999-01-27,6944,0.5813057368017823,1.6260773192693323,-0.1117557941797066,0.06504310416709047,0.07867983471633798,0.021320165283662026,0.055171597312770985,2.284000120935373,0.5009515291234785
P1 1x,SPY,SPY,E1 Yang-Zhang 21,none,1999-01-27,6944,0.48598366397046766,0.7450389723098388,-0.29307173321593527,0.06664186434718511,0.10141304749933037,0.0014130474993303693,0.01632860252092738,1.9942361122404149,0.7058344226197063
P1 1x,SPY,SPY,E1 Yang-Zhang 21,trend,1999-01-27,6944,0.6210575628163617,1.6962421405987296,-0.10719437819269884,0.06908967919448883,0.0799127034133993,0.020087296586600703,0.05516613898369424,2.1659918818276815,0.5096323708115094
P1 1x,SPY,SPY,E2 Parkinson EWMA,none,1999-01-27,6944,0.5144493666752631,0.7692042933561244,-0.31189035905719287,0.07503864825822704,0.11359589949989579,0.013595899499895786,0.025124597868057368,1.3081429961750688,0.7735800545438902
P1 1x,SPY,SPY,E2 Parkinson EWMA,trend,1999-01-27,6944,0.6344323078457622,1.6414592457756911,-0.13920269788754547,0.0752691984832703,0.08844561597903013,0.01155438402096988,0.055865974096093236,1.8154376485072738,0.5556612371768824
P1 1x,SPY,SPY,E3 K-ATR fast,none,1999-01-27,6944,0.44886059187535426,0.5411057245488643,-0.3748628402598796,0.06674760472871011,0.11271289744490058,0.012712897444900575,0.021008306442065097,6.8791163130063815,0.7904752081859946
P1 1x,SPY,SPY,E3 K-ATR fast,trend,1999-01-27,6944,0.6157603254541092,1.5389661707160216,-0.1369176652880555,0.07257738939225167,0.08682092241203027,0.01317907758796974,0.05520092403266925,5.03668480396276,0.5585328962856845
P1 1x,SPY,SPY,E4 Yang-Zhang EWMA,none,1999-01-27,6944,0.45516680739081167,0.7245388788278571,-0.27441716931033533,0.062129183089869144,0.09827152935531223,0.0017284706446877712,0.01755642945035525,1.6107436955684142,0.6812923305058307
P1 1x,SPY,SPY,E4 Yang-Zhang EWMA,trend,1999-01-27,6944,0.5934997865928189,1.621691220369086,-0.10397591840481091,0.065567616301762,0.07777543605309276,0.02222456394690725,0.05562875160454337,1.9391944886737258,0.49527891907957733
P1 1x,QQQ,QQQ,E0 EWMA c2c,none,2005-03-16,5402,0.7735974201187149,1.8186737387557796,-0.1922551564256776,0.09519590784041032,0.10126553773086942,0.0012655377308694177,0.01476942568778601,2.2046303147192603,0.585846896835503
P1 1x,QQQ,QQQ,E0 EWMA c2c,trend,2005-03-16,5402,0.8164980749607219,2.4100135165052534,-0.10081139971791075,0.08703919291374729,0.08491209180979832,0.015087908190201685,0.04834888757101367,2.546946838851164,0.450339594769263
P1 1x,QQQ,QQQ,E1 Yang-Zhang 21,none,2005-03-16,5402,0.7920149871900306,1.814836416446086,-0.18420938038151513,0.10000424732349766,0.10492069341070799,0.004920693410707985,0.01585058082918631,2.1908794676814995,0.6104721502007482
P1 1x,QQQ,QQQ,E1 Yang-Zhang 21,trend,2005-03-16,5402,0.8620408674115367,2.589207265687488,-0.10773261416574054,0.09327123158602246,0.08729625313232224,0.012703746867677765,0.048231529634286945,2.5283912934891863,0.4645052864923801
P1 1x,QQQ,QQQ,E2 Parkinson EWMA,none,2005-03-16,5402,0.8075244476525809,1.7448685067858805,-0.22288644071120767,0.11353729210505814,0.12018227864329974,0.02018227864329973,0.028321419468186074,1.5426553817961595,0.6910408294559541
P1 1x,QQQ,QQQ,E2 Parkinson EWMA,trend,2005-03-16,5402,0.8509917333554683,2.394219058023087,-0.13189100040312784,0.1029922223832711,0.10026540038652851,0.0002654003865285026,0.05064333976973417,2.2015204043967227,0.5279866064512924
P1 1x,QQQ,QQQ,E3 K-ATR fast,none,2005-03-16,5402,0.7715441236342275,1.5537543546593868,-0.23074045124623166,0.10893599362821615,0.12045640424708838,0.020456404247088375,0.024116606484823628,9.137174530033393,0.723307071286119
P1 1x,QQQ,QQQ,E3 K-ATR fast,trend,2005-03-16,5402,0.8438952533029336,2.4011971975623125,-0.14510790382460204,0.10150022470780962,0.09939799389579788,0.0006020061042021213,0.04896219201910835,7.7165135153672075,0.5464162310418201
P1 1x,QQQ,QQQ,E4 Yang-Zhang EWMA,none,2005-03-16,5402,0.76541841709677,1.7236057300583574,-0.1830876953467282,0.09414415193073489,0.10106426888639393,0.0010642688863939237,0.016853963891640754,1.5704447359511966,0.584844392976134
P1 1x,QQQ,QQQ,E4 Yang-Zhang EWMA,trend,2005-03-16,5402,0.8380791160171325,2.504791557459903,-0.10683851621527729,0.08843444950044876,0.0841793514414639,0.0158206485585361,0.04895347875506702,2.049738301088145,0.4469175850212047
P1 1x,XLK,XLK,E0 EWMA c2c,none,2004-12-30,5454,0.7214954779541504,1.6352956649036816,-0.2095683853689264,0.0898758216229194,0.10180302678758771,0.0018030267875877026,0.014811737313824902,2.064416374606641,0.5874373092379263
P1 1x,XLK,XLK,E0 EWMA c2c,trend,2004-12-30,5454,0.654804412672857,1.747743480257057,-0.10402299929381953,0.07300410028533166,0.08607843796039123,0.013921562039608773,0.04544445176454532,2.39345252001482,0.4577675747791248
P1 1x,XLK,XLK,E1 Yang-Zhang 21,none,2004-12-30,5454,0.7567868608510829,1.7662409088953175,-0.1918693407756623,0.09497469094632693,0.1034501292739073,0.003450129273907296,0.01683821014704804,2.2014512354380615,0.594947158528793
P1 1x,XLK,XLK,E1 Yang-Zhang 21,trend,2004-12-30,5454,0.731633135112042,2.129574167438102,-0.10874093707990906,0.0807694182605252,0.08700886479935306,0.012991135200646944,0.045319800953277055,2.4646753108433077,0.46039041637498784
P1 1x,XLK,XLK,E2 Parkinson EWMA,none,2004-12-30,5454,0.7582099883856004,1.7020742431562403,-0.22260477070537765,0.10804447043506804,0.12161005339506843,0.021610053395068426,0.030299942761729145,1.589705049839817,0.6884135224554434
P1 1x,XLK,XLK,E2 Parkinson EWMA,trend,2004-12-30,5454,0.6973058503186639,1.8063842961969152,-0.14778619855403552,0.0873301979689407,0.10201116771596179,0.002011167715961784,0.0481771362691192,2.1858580263459624,0.5323246410604392
P1 1x,XLK,XLK,E3 K-ATR fast,none,2004-12-30,5454,0.7639111878531559,1.7059278818520214,-0.2058843681426431,0.108265959604122,0.12083735186795255,0.020837351867952547,0.024870903783587445,9.256868171712776,0.714610153950445
P1 1x,XLK,XLK,E3 K-ATR fast,trend,2004-12-30,5454,0.7025709874779508,1.8892612533357003,-0.1272859465065891,0.0874175210310455,0.10124611735156858,0.0012461173515685708,0.04508511709225238,7.9998159247527765,0.5519554041489916
P1 1x,XLK,XLK,E4 Yang-Zhang EWMA,none,2004-12-30,5454,0.7477493660600805,1.7822285170670806,-0.18384726268141438,0.09127373963424956,0.09965241236226552,0.00034758763773448664,0.017992511754687142,1.5663470418000656,0.5700404995051852
P1 1x,XLK,XLK,E4 Yang-Zhang EWMA,trend,2004-12-30,5454,0.7088170837881447,2.0690227571185194,-0.10695321483622267,0.07660263154641278,0.08398896746350937,0.016011032536490638,0.04639936797762481,2.0015493069096606,0.4421370482945274
P1 1x,IWM,IWM,E0 EWMA c2c,none,2006-06-06,5094,0.3361598727275915,0.6421507230114135,-0.1903453728578025,0.046701007244834836,0.1015698738030788,0.0015698738030787973,0.013220250429437608,1.9597443436369975,0.5234251823511866
P1 1x,IWM,IWM,E0 EWMA c2c,trend,2006-06-06,5094,0.31611048250985585,0.7307942953887535,-0.12598831450929138,0.03808898998035648,0.07427125370939233,0.025728746290607674,0.062081989463833934,2.001189594113632,0.3076319381603115
P1 1x,IWM,IWM,E1 Yang-Zhang 21,none,2006-06-06,5094,0.3351214492701178,0.6330040796191175,-0.1841563213969971,0.04699381614467146,0.10322869545014263,0.0032286954501426213,0.014178256734398093,1.934777689564653,0.5338952163435836
P1 1x,IWM,IWM,E1 Yang-Zhang 21,trend,2006-06-06,5094,0.30456781317709347,0.6899701364780613,-0.13321323141232633,0.03749328863254875,0.07550901966075683,0.02449098033924317,0.06209457495433203,1.9507018893033052,0.3123972414656412
P1 1x,IWM,IWM,E2 Parkinson EWMA,none,2006-06-06,5094,0.37724173551024726,0.6778761064403251,-0.21304976242615448,0.05577034444207363,0.11824658411351631,0.018246584113516304,0.02509996105342291,1.519109361250485,0.6059892919320284
P1 1x,IWM,IWM,E2 Parkinson EWMA,trend,2006-06-06,5094,0.3355383520739685,0.6819126383606733,-0.1541116268554531,0.04252459819054066,0.08530770483812848,0.014692295161871524,0.06276745476659068,1.7595303986183288,0.3520618704004317
P1 1x,IWM,IWM,E3 K-ATR fast,none,2006-06-06,5094,0.30077420523767845,0.5038179272753046,-0.26122582609607836,0.04650862930390187,0.1194992451046049,0.019499245104604893,0.021879385905856037,9.096104428529095,0.6389149973857812
P1 1x,IWM,IWM,E3 K-ATR fast,trend,2006-06-06,5094,0.23796953165931142,0.5165094160330478,-0.145237697627412,0.03413363994197427,0.08689310861125255,0.01310689138874746,0.06194029160773835,6.078218049176829,0.3713111801149485
P1 1x,IWM,IWM,E4 Yang-Zhang EWMA,none,2006-06-06,5094,0.36539993107136765,0.7044368925585855,-0.17307512689778115,0.0491701971601306,0.09925245204917736,0.000747547950822644,0.014963492528546759,1.4464438015268921,0.5125073803339003
P1 1x,IWM,IWM,E4 Yang-Zhang EWMA,trend,2006-06-06,5094,0.299892853173082,0.6954458415156666,-0.12940463021987925,0.036337117585731216,0.07213292246069421,0.0278670775393058,0.06262431714698517,1.6288470905376826,0.30008994463219374
