EEM/EDC 2009-04-17..2026-09-02,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr,Realised vol,Avg weight
B&H leveraged,0.008905300443648123,0.6535367946696413,0.3237687292559823,-0.9253989466236938,69.76589054581099,0.012787213703216177,1.0,0.0,,
"VT30, no gate",0.022642796074417104,,0.18120328422779342,-0.663239689649566,39.0026314911338,0.05815832014463706,0.5386540014331739,2.9268999995099536,0.3026657335227244,0.5386540014331739
200SMA gate + VT30 (study headline),0.008921377939120179,,0.10035955057318625,-0.6630256391892785,44.695947026581344,0.019995593070538265,0.37519505184769875,6.956143822242011,0.23892384694099003,0.37519505184769875
trend gate + VT30,0.04523613788556857,,0.24938131658031,-0.47809294077366205,31.212057768723483,0.1451935444615133,0.3160369254458452,2.823667992094954,0.22737393912074413,0.3160369254458452
"trend gate + VT30, no band",0.040889353871592427,,0.2309868408300318,-0.49949632930392773,33.278052367757724,0.12309344179503634,0.32521002285651684,3.769535654060827,0.23208339163237246,0.32521002285651684
"trend gate, unsized (w=1)",0.03379619795144184,,0.27196354250604926,-0.7952552685052859,60.77592601207058,0.05570782100414636,0.5551235132662397,2.2479414455626716,0.4517443011787741,0.5551235132662397
