XLK/TECL 2009-03-19..2026-09-02,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr,Realised vol,Avg weight
B&H leveraged,0.4724134204939847,0.6591908882876212,0.8996474973175143,-0.7795820895522385,26.236174771347354,1.804444988872197,1.0,0.0,,
"VT30, no gate",0.27057535825628776,,0.9017567849713017,-0.36819868641846354,13.400332626451908,2.023169770223984,0.5716487967321953,2.9568689160924357,0.3020435375470542,0.5716487967321953
200SMA gate + VT30 (study headline),0.2095616890876122,,0.77915499541422,-0.3478363706509551,15.990884424113947,1.31304284324976,0.5198054783876315,4.722171869297921,0.2769056719195146,0.5198054783876315
trend gate + VT30,0.19538439111045336,,0.7722153363259061,-0.32331119412040354,12.419960662457601,1.5761746894014903,0.43418048411485616,3.127672893109211,0.2571962417359094,0.43418048411485616
"trend gate + VT30, no band",0.19298014973046151,,0.7547300471619063,-0.31970929789044067,12.937462265787222,1.4945052015898446,0.44619996058103806,4.295874189995257,0.26221895917453797,0.44619996058103806
"trend gate, unsized (w=1)",0.2970632510465603,,0.7457111196979942,-0.6905105681696848,21.59968952211973,1.3780647822468366,0.724271402550091,2.0081967213114758,0.5052324166250467,0.724271402550091
