GLD/UGL 2010-11-22..2026-09-02,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr,Realised vol,Avg weight
B&H leveraged,0.07603525259737487,0.3374329818390245,0.34347098443272406,-0.7592105263157887,52.39974938269651,0.1454400954890891,1.0,0.0,,
"VT30, no gate",0.08933405380906301,,0.3965347579239027,-0.6957399608222694,44.24437805658381,0.2023780423719712,0.8868782513707733,1.4278206841726173,0.27259193062368253,0.8868782513707733
200SMA gate + VT30 (study headline),0.06715652389036286,,0.33986264654268417,-0.574082483882705,39.890032451291674,0.16874002228181964,0.5436533803378636,9.13988829936366,0.21760471914757057,0.5436533803378636
trend gate + VT30,0.07814348488648504,,0.3974244102491852,-0.5146235127712329,30.940678657250505,0.25314087333584795,0.4632562492709923,2.7288004395212178,0.2055585110630087,0.4632562492709923
"trend gate + VT30, no band",0.07572897092431208,,0.38485778857087594,-0.5242895078877109,31.798399780909953,0.23870142815567014,0.4697326529166438,3.5816495136944675,0.20744197092507125,0.4697326529166438
"trend gate, unsized (w=1)",0.06728522122306813,,0.32343509445457524,-0.6042806468470606,41.077513169194305,0.16417608071944112,0.5362903225806451,2.032258064516129,0.2658333175121023,0.5362903225806451
