SPY/UPRO 2009-09-23..2026-09-02,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr,Realised vol,Avg weight
B&H leveraged,0.29866769500342816,0.5108009974463119,0.7446855100269557,-0.7681535269709544,21.736179750412926,1.377000018151305,1.0,0.0,,
"VT30, no gate",0.2073320388580806,,0.7427931445782476,-0.33994935463167875,13.668063381159781,1.5200444273020333,0.7290571074867872,2.787274916743953,0.2941401208768832,0.7290571074867872
200SMA gate + VT30 (study headline),0.16336551404624955,,0.6525774855260558,-0.315199840673586,14.687535425828072,1.1145313010916573,0.6663946716466629,4.877781477491336,0.2654549094294001,0.6663946716466629
trend gate + VT30,0.16590076289160471,,0.6913620875304379,-0.3274987803631696,13.850410444502709,1.2002383210162857,0.5499809326380792,2.898288288789512,0.24673116805326956,0.5499809326380792
"trend gate + VT30, no band",0.17092127146833969,,0.7019120914253498,-0.3290687282084641,13.970091159287554,1.2259717780835289,0.564015019283839,4.1676061116550915,0.250494851343311,0.564015019283839
"trend gate, unsized (w=1)",0.2537982699988808,,0.7675649124300269,-0.5190615835777127,16.856565973441796,1.5088043058671892,0.7092914124824027,1.4190520882214923,0.36479176521924556,0.7092914124824027
