QQQ/TQQQ 2010-05-12..2026-09-02,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr,Realised vol,Avg weight
B&H leveraged,0.4102944201644503,0.6133758965615024,0.8481289490434486,-0.8155197657393847,27.11071713969912,1.5167399328776674,1.0,0.0,,
"VT30, no gate",0.26838554077297694,,0.8903872626542739,-0.4249236048326729,14.201961126368104,1.893739341473049,0.6014560756794506,2.8717936022445327,0.30338113193487387,0.6014560756794506
200SMA gate + VT30 (study headline),0.19774670244488202,,0.739349227855258,-0.38264001173533413,16.305277987754394,1.2152499817749884,0.5457364929093753,5.166509742374237,0.27751220004020627,0.5457364929093753
trend gate + VT30,0.22732986632221186,,0.8738510518055772,-0.2941315704117178,12.572944024436483,1.8118181741437995,0.45385526318942737,3.2135790273670275,0.2561525290290515,0.45385526318942737
"trend gate + VT30, no band",0.22894516623840455,,0.8706996930699936,-0.2930446524187913,12.716039825507572,1.8041608961818345,0.4627183920221057,4.6476004747630295,0.2596285590517786,0.4627183920221057
"trend gate, unsized (w=1)",0.35718651533017765,,0.8739685030417241,-0.5149915217890435,18.351130281347416,1.9506148575044835,0.7060687301974166,1.84255422861321,0.4517178985561733,0.7060687301974166
