vehicle,arm,episode,Sharpe,Martin,MaxDD,Turnover/yr,group,Return,peak,trough,react_day,DD_before_reaction,days_peak_to_trough,w_at_peak,panel
P1 QQQ,A: sizer k=5,E2007_09_gfc,,,-0.04428524776321552,,market_factor_A0_calendar,0.048659072762538,2007-10-31,2007-11-12,,-0.04428524776321552,9.0,0.5320270595268594,P1
P1 QQQ,A: sizer k=5,E2011_eu_us,,,-0.06276847322564094,,market_factor_A0_calendar,-0.028698805970749364,2011-05-10,2011-06-17,,-0.06276847322564094,28.0,0.7654039021409417,P1
P1 QQQ,A: sizer k=5,E2015_16_china,,,-0.017317173692318,,market_factor_A0_calendar,0.0008556322664543536,2015-06-01,2015-06-09,,-0.017317173692318,7.0,0.7949466752353631,P1
P1 QQQ,A: sizer k=5,K2013_14_bull,,,-0.04672106252820518,,calm_controls,0.42454198713779356,2014-03-05,2014-04-11,,-0.04672106252820518,28.0,0.790668302661112,P1
P1 QQQ,A: sizer k=5,A_bull_2021,,,-0.057370841978295006,,calm_controls,0.09479779277484068,2021-09-07,2021-10-04,,-0.057370841978295006,20.0,1.0,P1
P1 QQQ,A: sizer k=5,D_recent_2025plus,,,-0.0646307543180612,,calm_controls,0.23012575527070678,2026-01-28,2026-03-30,,-0.0646307543180612,43.0,0.7188707038465779,P1
P1 QQQ,B: t+2 next-close,FULL,0.7992951321904618,2.4158456241608453,-0.10586941619854962,7.324504943402953,,,,,,,,,P1
P1 QQQ,B: t+2 next-close,E_bear_2018q4,,,-0.08320659926151419,,modern_folds,-0.06180154340895483,2018-10-01,2018-10-24,,-0.08320659926151419,18.0,0.7705813210413294,P1
P1 QQQ,B: t+2 next-close,X_2020_covid,,,-0.10219179889720653,,modern_folds,0.08957634893460886,2020-02-19,2020-04-21,2020-03-04,-0.0733787002642724,44.0,0.5995385624740734,P1
P1 QQQ,B: t+2 next-close,B_bear_2022,,,0.0,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P1
P1 QQQ,B: t+2 next-close,E2007_09_gfc,,,-0.05710866856139363,,market_factor_A0_calendar,0.022926613370086724,2007-10-31,2007-11-12,,-0.05710866856139363,9.0,0.5267843739632884,P1
P1 QQQ,B: t+2 next-close,E2011_eu_us,,,-0.07967092686664434,,market_factor_A0_calendar,-0.04356365827024189,2011-05-10,2011-08-08,2011-08-08,-0.07967092686664434,63.0,0.8256179341623602,P1
P1 QQQ,B: t+2 next-close,E2015_16_china,,,-0.016856274804847082,,market_factor_A0_calendar,-0.006753102977731129,2015-06-01,2015-06-09,,-0.016856274804847082,7.0,0.6729392657984893,P1
P1 QQQ,B: t+2 next-close,K2013_14_bull,,,-0.05638637952228864,,calm_controls,0.35210721882012885,2014-03-05,2014-04-11,,-0.05638637952228864,28.0,0.7326780514054069,P1
P1 QQQ,B: t+2 next-close,A_bull_2021,,,-0.06227008653552024,,calm_controls,0.06248368090721623,2021-09-07,2021-10-04,,-0.06227008653552024,20.0,0.9196487753931686,P1
P1 QQQ,B: t+2 next-close,D_recent_2025plus,,,-0.06991812541879272,,calm_controls,0.1942221572945706,2026-01-28,2026-03-30,,-0.06991812541879272,43.0,0.6930090366016005,P1
P1 QQQ,B: next-open,FULL,0.8100274622990706,2.385122362525528,-0.10244567690521345,2.4576400525447832,,,,,,,,,P1
P1 QQQ,B: next-open,E_bear_2018q4,,,-0.07754287926222037,,modern_folds,-0.06429534971708284,2018-10-01,2018-10-24,,-0.07754287926222037,18.0,0.7738826415665859,P1
P1 QQQ,B: next-open,X_2020_covid,,,-0.102445676905213,,modern_folds,0.09117196447974751,2020-02-19,2020-04-21,2020-02-28,-0.07743377017158015,44.0,0.6791295224625364,P1
P1 QQQ,B: next-open,B_bear_2022,,,0.0,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P1
P1 QQQ,B: next-open,E2007_09_gfc,,,-0.054677439834897146,,market_factor_A0_calendar,0.03472800384933894,2007-10-31,2007-11-12,,-0.054677439834897146,9.0,0.4963682051253108,P1
P1 QQQ,B: next-open,E2011_eu_us,,,-0.07708758845597774,,market_factor_A0_calendar,-0.04520150704589121,2011-05-10,2011-08-19,2011-08-05,-0.06128749747754014,72.0,0.7622229782229601,P1
P1 QQQ,B: next-open,E2015_16_china,,,-0.015827537053914154,,market_factor_A0_calendar,0.0013037893144922652,2015-06-01,2015-06-09,,-0.015827537053914154,7.0,0.7267943909995076,P1
P1 QQQ,B: next-open,K2013_14_bull,,,-0.05265805970673165,,calm_controls,0.3743049468332851,2014-03-05,2014-04-11,,-0.05265805970673165,28.0,0.6981697055890154,P1
P1 QQQ,B: next-open,A_bull_2021,,,-0.06235913009957805,,calm_controls,0.06021041099263025,2021-09-07,2021-12-03,2021-10-06,-0.06193591002836052,63.0,0.9366518026360179,P1
P1 QQQ,B: next-open,D_recent_2025plus,,,-0.07629904182442182,,calm_controls,0.18665203043213507,2026-01-28,2026-03-30,,-0.07629904182442182,43.0,0.7309821153142309,P1
P1 XLK,incumbent t+1,FULL,0.6720370446330262,1.7875989344048528,-0.10402299929382008,2.4437465596755,,,,,,,,,P1
P1 XLK,incumbent t+1,E_bear_2018q4,,,-0.08102905160478135,,modern_folds,-0.057270633432647156,2018-10-03,2018-10-25,2018-10-11,-0.07737836973857959,17.0,0.9564556916733313,P1
P1 XLK,incumbent t+1,X_2020_covid,,,-0.10043399640404382,,modern_folds,0.07495577729199576,2020-02-19,2020-04-21,2020-03-03,-0.071492964162582,44.0,0.5568350131476418,P1
P1 XLK,incumbent t+1,B_bear_2022,,,-0.026844950354008912,,modern_folds,-0.01075179716798036,2022-01-03,2022-01-14,2022-01-14,-0.026844950354008912,10.0,0.3839446473676471,P1
P1 XLK,incumbent t+1,E2007_09_gfc,,,-0.09043304874667868,,market_factor_A0_calendar,-0.031236710497428044,2007-10-31,2008-01-08,2007-12-04,-0.05856422214703361,47.0,0.6843870950367977,P1
P1 XLK,incumbent t+1,E2011_eu_us,,,-0.086149147916594,,market_factor_A0_calendar,-0.04602944883913174,2011-05-10,2011-08-19,2011-08-05,-0.06386458096983605,72.0,0.8486942843485389,P1
P1 XLK,incumbent t+1,E2015_16_china,,,-0.03129490077790931,,market_factor_A0_calendar,-0.02151077018918346,2015-06-01,2015-11-13,2015-06-18,-0.018401570194817807,118.0,0.7030202570194131,P1
P1 XLK,incumbent t+1,K2013_14_bull,,,-0.04683684640869379,,calm_controls,0.21063036142009417,2013-05-17,2013-06-24,,-0.04683684640869379,26.0,0.830002835933788,P1
P1 XLK,incumbent t+1,A_bull_2021,,,-0.05519270765022144,,calm_controls,0.1134693683461816,2021-08-30,2021-11-01,2021-10-05,-0.05378346854327454,45.0,0.8520227928601892,P1
P1 XLK,incumbent t+1,D_recent_2025plus,,,-0.0746694195846681,,calm_controls,0.25946698754542363,2025-10-29,2026-03-30,,-0.0746694195846681,104.0,0.49196394793002896,P1
P1 XLK,A: both k=1,FULL,0.8941858322153624,2.805426265094963,-0.10841765207040821,2.4020211763170862,,,,,,,,,P1
P1 XLK,A: both k=1,E_bear_2018q4,,,-0.05759604528061102,,modern_folds,-0.022767032585060742,2018-10-03,2018-10-11,2018-10-10,-0.05253096656706946,7.0,0.9865116862635365,P1
P1 XLK,A: both k=1,X_2020_covid,,,-0.07056513270694709,,modern_folds,0.11887240584231806,2020-02-19,2020-04-21,2020-03-03,-0.060220514620645815,44.0,0.5499559706233651,P1
