ticker,arm,fold,start,end,days,Sharpe,MaxDD,Martin,Ulcer%,CAGR,TimeIn,OffFrac,Flips/yr
SPY,Buy & hold,FULL,1999-01-27,2026-09-03,6944,0.42114153521968556,-0.5519076395778848,0.5452820431056125,15.836197769908797,0.08635194275000413,1.0,0.0,0.0
SPY,Buy & hold,E_bear_2018q4,2018-09-04,2019-02-28,122,-0.36326100968423153,-0.19346772332076612,-0.7669972487538959,7.969214229417136,-0.061123653886933416,1.0,0.0,0.0
SPY,Buy & hold,X_2020_covid,2020-02-03,2020-12-31,232,0.6898896052536961,-0.33717009273069154,1.8966374461037052,10.604383570471995,0.20112670972604096,1.0,0.0,0.0
SPY,Buy & hold,B_bear_2022,2022-01-03,2022-12-30,251,-0.7624118230643652,-0.24496106785317096,-1.21132774252496,15.057066082463114,-0.18239041866719186,1.0,0.0,0.0
SPY,Buy & hold,K_bull_2013_14,2013-01-02,2014-12-31,504,1.877417564787742,-0.07272286528089233,13.106193466831915,1.718791971738975,0.225268201108485,1.0,0.0,0.0
SPY,Buy & hold,A_bull_2021,2021-01-04,2021-12-31,252,2.009568947090925,-0.051159167099484426,19.43175074823723,1.4782884682557307,0.2872573304913877,1.0,0.0,0.0
SPY,Buy & hold,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.4529897452536387,-0.09976193175376957,9.606917133890514,2.669002771461786,0.256408884555575,1.0,0.0,0.0
SPY,Buy & hold,D_recent_2025plus,2025-01-02,2026-09-03,419,0.8195963655275866,-0.18754770834024748,4.700879062981617,3.966424628037595,0.1864568248883658,1.0,0.0,0.0
SPY,trend λ5 rolling,FULL,1999-01-27,2026-09-03,6944,0.6345803903917503,-0.18613348676639785,1.7067584909927498,5.29755776546647,0.09041651697734476,0.6418490783410138,0.3581509216589862,1.5241935483870968
SPY,trend λ5 rolling,E_bear_2018q4,2018-09-04,2019-02-28,122,-1.4418318243686765,-0.0687081634223281,-1.6742709555869764,4.952831849985747,-0.08292382514337249,0.28688524590163933,0.7131147540983607,2.0655737704918034
SPY,trend λ5 rolling,X_2020_covid,2020-02-03,2020-12-31,232,0.8906197357659956,-0.1318117757804873,2.072600949810245,7.908242560707082,0.16390631042651305,0.75,0.25,2.1724137931034484
SPY,trend λ5 rolling,B_bear_2022,2022-01-03,2022-12-30,251,-2.179512128811603,-0.0937214238042271,-0.8628570943644459,8.926277823972383,-0.07702102146682599,0.06772908366533864,0.9322709163346614,1.00398406374502
SPY,trend λ5 rolling,K_bull_2013_14,2013-01-02,2014-12-31,504,1.594151669874192,-0.07272286528089233,7.428902347144027,2.3571228959358463,0.17510835814124737,0.9007936507936508,0.09920634920634919,0.5
SPY,trend λ5 rolling,A_bull_2021,2021-01-04,2021-12-31,252,2.009568947090925,-0.051159167099484426,19.43175074823723,1.4782884682557307,0.2872573304913877,1.0,0.0,0.0
SPY,trend λ5 rolling,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.1207278438515558,-0.08405219282348686,7.773157870276906,2.128341289189149,0.1654393284269593,0.6414342629482072,0.35856573705179284,1.5059760956175299
SPY,trend λ5 rolling,D_recent_2025plus,2025-01-02,2026-09-03,419,0.914436089068064,-0.1003451594703132,4.631064960163887,3.4732533066252658,0.16084861686085627,0.9116945107398569,0.08830548926014314,2.4057279236276847
SPY,DYN speeds (causal),FULL,1999-01-27,2026-09-03,6944,0.42503493493328665,-0.3488207042892538,0.6590811353319208,11.081301528597722,0.07303476792423536,0.825864942943333,0.174135057056667,5.625
SPY,DYN speeds (causal),E_bear_2018q4,2018-09-04,2019-02-28,122,-1.228723194644595,-0.1270462722166652,-1.7908399293872614,8.679084462079803,-0.15542851005217073,0.7786680882130534,0.22133191178694656,6.19672131147541
SPY,DYN speeds (causal),X_2020_covid,2020-02-03,2020-12-31,232,-0.0056023947780909356,-0.3488207042892536,-0.17459827456534038,21.4429571501651,-0.03743903319997355,0.9250306759637492,0.07496932403625078,5.431034482758621
SPY,DYN speeds (causal),B_bear_2022,2022-01-03,2022-12-30,251,-1.1005874906769875,-0.24460328528085562,-1.0493564413412673,17.05024838816539,-0.17891787972589912,0.5856374419570599,0.4143625580429401,14.055776892430279
SPY,DYN speeds (causal),K_bull_2013_14,2013-01-02,2014-12-31,504,1.877417564787742,-0.07272286528089233,13.106193466831915,1.718791971738975,0.225268201108485,1.0,0.0,0.0
SPY,DYN speeds (causal),A_bull_2021,2021-01-04,2021-12-31,252,2.009568947090925,-0.051159167099484426,19.43175074823723,1.4782884682557307,0.2872573304913877,1.0,0.0,0.0
SPY,DYN speeds (causal),C_mixed_2023_24,2023-01-03,2024-12-31,502,1.2887762803808982,-0.09976193175376935,7.730385473973686,2.8467456325183487,0.22006441085717876,0.9382470119521913,0.06175298804780871,4.517928286852589
SPY,DYN speeds (causal),D_recent_2025plus,2025-01-02,2026-09-03,419,0.5054212107388218,-0.24042219459651926,1.7356847932347421,6.675688201889551,0.11586890496396274,0.9952267303102625,0.004773269689737458,2.4057279236276847
SPY,MED a=0.5,FULL,1999-01-27,2026-09-03,6944,0.3237730276977554,-0.28871233574904076,0.4556665737192719,11.301159379727254,0.0514956057361573,0.7283986175115207,0.2716013824884793,24.786290322580644
SPY,MED a=0.5,E_bear_2018q4,2018-09-04,2019-02-28,122,-1.0542438197432469,-0.0978642266754739,-1.3599063011658488,6.8300470272365965,-0.09288223989598121,0.6229508196721312,0.3770491803278688,16.524590163934427
SPY,MED a=0.5,X_2020_covid,2020-02-03,2020-12-31,232,0.4269305971176472,-0.20764283611003131,0.6992591896523073,10.484594210901566,0.07331448851748301,0.834051724137931,0.16594827586206895,23.896551724137932
SPY,MED a=0.5,B_bear_2022,2022-01-03,2022-12-30,251,-1.4503545227122487,-0.19472796631319356,-1.0664513052289684,13.698127240328487,-0.146083856746408,0.4043824701195219,0.5956175298804781,28.111553784860558
SPY,MED a=0.5,K_bull_2013_14,2013-01-02,2014-12-31,504,1.4563604258127227,-0.052896353283503506,7.795609741267047,1.7949362548543333,0.1399262255329583,0.8869047619047619,0.11309523809523814,23.0
SPY,MED a=0.5,A_bull_2021,2021-01-04,2021-12-31,252,1.3171174472133484,-0.050452756025995416,7.714965766201004,1.9833181139746592,0.15301231352800837,0.9107142857142857,0.0892857142857143,28.0
SPY,MED a=0.5,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.2549699631034814,-0.08432918731881622,7.27075940705742,2.547485231317927,0.18522152209944664,0.798804780876494,0.20119521912350602,18.573705179282868
SPY,MED a=0.5,D_recent_2025plus,2025-01-02,2026-09-03,419,0.8389221289686635,-0.1331705119145805,4.132683433225669,3.429116091086062,0.14171451260238932,0.850835322195704,0.149164677804296,20.44868735083532
SPY,Bull+Rebound,FULL,1999-01-27,2026-09-03,6944,0.09327704817750665,-0.4957405098309251,0.11208909930124222,22.15817368271993,0.024836897302565664,0.6542338709677419,0.3457661290322581,22.391129032258064
SPY,Bull+Rebound,E_bear_2018q4,2018-09-04,2019-02-28,122,-0.07546334408060489,-0.07543892812039665,0.25063970443799966,4.975663842912782,0.012470989149705014,0.5163934426229508,0.48360655737704916,12.39344262295082
SPY,Bull+Rebound,X_2020_covid,2020-02-03,2020-12-31,232,1.1345303169570962,-0.1349139014562757,3.4127704353936914,5.977981750681029,0.20401479382047238,0.7456896551724138,0.2543103448275862,21.724137931034484
SPY,Bull+Rebound,B_bear_2022,2022-01-03,2022-12-30,251,-0.5029359188173631,-0.16390533443601363,-0.7411674322985377,8.760360358528983,-0.06492893792940824,0.41832669322709165,0.5816733067729083,21.083665338645417
SPY,Bull+Rebound,K_bull_2013_14,2013-01-02,2014-12-31,504,0.7098765884296595,-0.05436548970300259,2.3442061815815687,2.5224003409513798,0.059130264716816816,0.7738095238095238,0.22619047619047616,23.0
SPY,Bull+Rebound,A_bull_2021,2021-01-04,2021-12-31,252,0.3413509034499777,-0.0644752436969146,1.0541094629593089,2.9680945693004035,0.0312869657245769,0.8214285714285714,0.1785714285714286,28.0
SPY,Bull+Rebound,C_mixed_2023_24,2023-01-03,2024-12-31,502,0.9515470411330627,-0.07989799225328331,4.720962149990711,3.238366759993097,0.15288206901715462,0.7569721115537849,0.24302788844621515,18.071713147410357
SPY,Bull+Rebound,D_recent_2025plus,2025-01-02,2026-09-03,419,1.170640951645993,-0.05552997451123287,7.075452923290168,2.3177862173991355,0.16399387267458376,0.7064439140811456,0.2935560859188544,18.042959427207638
SPY,OutOnlyBear,FULL,1999-01-27,2026-09-03,6944,0.4169606754802446,-0.4239046050500892,0.5704874690255912,13.138992891051501,0.07495630799961206,0.8921370967741935,0.1078629032258065,5.806451612903225
SPY,OutOnlyBear,E_bear_2018q4,2018-09-04,2019-02-28,122,-0.8656919346255012,-0.1270462722166652,-1.3692076670296538,8.26554939608455,-0.1131725360533129,0.8360655737704918,0.16393442622950816,4.131147540983607
SPY,OutOnlyBear,X_2020_covid,2020-02-03,2020-12-31,232,0.04477572562630165,-0.3488207042892536,-0.11547730221751022,20.700247974571198,-0.02390408791336962,0.9267241379310345,0.07327586206896552,4.344827586206897
SPY,OutOnlyBear,B_bear_2022,2022-01-03,2022-12-30,251,-0.8739090506620831,-0.25061448162030464,-0.9882834320973042,16.41919343718432,-0.1622681684237005,0.6573705179282868,0.3426294820717132,11.043824701195218
SPY,OutOnlyBear,K_bull_2013_14,2013-01-02,2014-12-31,504,1.877417564787742,-0.07272286528089233,13.106193466831915,1.718791971738975,0.225268201108485,1.0,0.0,0.0
SPY,OutOnlyBear,A_bull_2021,2021-01-04,2021-12-31,252,2.009568947090925,-0.051159167099484426,19.43175074823723,1.4782884682557307,0.2872573304913877,1.0,0.0,0.0
SPY,OutOnlyBear,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.2887762803808982,-0.09976193175376935,7.730385473973686,2.8467456325183487,0.22006441085717876,0.9382470119521913,0.06175298804780871,4.517928286852589
