ticker,arm,fold,start,end,days,Sharpe,MaxDD,Martin,Ulcer%,CAGR,TimeIn,OffFrac,Flips/yr,panel
SPY,Buy & hold,FULL,1999-01-27,2026-09-03,6944,0.42114153521968556,-0.5519076395778848,0.5452820431056125,15.836197769908797,0.08635194275000413,1.0,0.0,0.0,VR
SPY,Buy & hold,E_bear_2018q4,2018-09-04,2019-02-28,122,-0.36326100968423153,-0.19346772332076612,-0.7669972487538959,7.969214229417136,-0.061123653886933416,1.0,0.0,0.0,VR
SPY,Buy & hold,X_2020_covid,2020-02-03,2020-12-31,232,0.6898896052536961,-0.33717009273069154,1.8966374461037052,10.604383570471995,0.20112670972604096,1.0,0.0,0.0,VR
SPY,Buy & hold,B_bear_2022,2022-01-03,2022-12-30,251,-0.7624118230643652,-0.24496106785317096,-1.21132774252496,15.057066082463114,-0.18239041866719186,1.0,0.0,0.0,VR
SPY,Buy & hold,K_bull_2013_14,2013-01-02,2014-12-31,504,1.877417564787742,-0.07272286528089233,13.106193466831915,1.718791971738975,0.225268201108485,1.0,0.0,0.0,VR
SPY,Buy & hold,A_bull_2021,2021-01-04,2021-12-31,252,2.009568947090925,-0.051159167099484426,19.43175074823723,1.4782884682557307,0.2872573304913877,1.0,0.0,0.0,VR
SPY,Buy & hold,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.4529897452536387,-0.09976193175376957,9.606917133890514,2.669002771461786,0.256408884555575,1.0,0.0,0.0,VR
SPY,Buy & hold,D_recent_2025plus,2025-01-02,2026-09-03,419,0.8195963655275866,-0.18754770834024748,4.700879062981617,3.966424628037595,0.1864568248883658,1.0,0.0,0.0,VR
SPY,trend λ5 rolling,FULL,1999-01-27,2026-09-03,6944,0.6345803903917503,-0.18613348676639785,1.7067584909927498,5.29755776546647,0.09041651697734476,0.6418490783410138,0.3581509216589862,1.5241935483870968,VR
SPY,trend λ5 rolling,E_bear_2018q4,2018-09-04,2019-02-28,122,-1.4418318243686765,-0.0687081634223281,-1.6742709555869764,4.952831849985747,-0.08292382514337249,0.28688524590163933,0.7131147540983607,2.0655737704918034,VR
SPY,trend λ5 rolling,X_2020_covid,2020-02-03,2020-12-31,232,0.8906197357659956,-0.1318117757804873,2.072600949810245,7.908242560707082,0.16390631042651305,0.75,0.25,2.1724137931034484,VR
SPY,trend λ5 rolling,B_bear_2022,2022-01-03,2022-12-30,251,-2.179512128811603,-0.0937214238042271,-0.8628570943644459,8.926277823972383,-0.07702102146682599,0.06772908366533864,0.9322709163346614,1.00398406374502,VR
SPY,trend λ5 rolling,K_bull_2013_14,2013-01-02,2014-12-31,504,1.594151669874192,-0.07272286528089233,7.428902347144027,2.3571228959358463,0.17510835814124737,0.9007936507936508,0.09920634920634919,0.5,VR
