vehicle,arm,episode,Sharpe,Martin,MaxDD,Turnover/yr,Flips/yr,group,Return,peak,trough,react_day,DD_before_reaction,days_peak_to_trough,w_at_peak,panel
P2 TNA,G_own,X_2020_covid,1.098956645346839,,-0.23435802975046804,,,modern_folds,0.21978638394539995,2020-02-20,2020-09-23,2020-02-25,-0.11412788532707807,151.0,0.6872651634719729,P2
P2 TNA,G_own,B_bear_2022,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 TNA,G_own,E2011_eu_us,-1.1779256699971037,,-0.31194005196103025,,,market_factor_A0_calendar,-0.23920243962242138,2011-05-10,2011-10-03,2011-06-02,-0.10218621996791333,102.0,0.6534997093321329,P2
P2 TNA,G_own,E2015_16_china,,,0.0,,,market_factor_A0_calendar,0.0,2015-06-01,2015-06-01,,0.0,1.0,0.0,P2
P2 TNA,G_own,K2013_14_bull,0.9110155035668198,,-0.15757883615197,,,calm_controls,0.5123596110558346,2014-07-03,2014-08-04,2014-08-04,-0.15757883615197,22.0,0.6828406155137008,P2
P2 TNA,G_own,A_bull_2021,0.698944943456982,,-0.1641853383766958,,,calm_controls,0.1763298496544805,2021-11-08,2021-12-01,2021-11-29,-0.13857905722569142,17.0,0.5502676715000104,P2
P2 TNA,G_own,D_recent_2025plus,0.7185167055903301,,-0.16264459391676245,,,calm_controls,0.36077204624623826,2026-01-22,2026-03-31,2026-02-09,-0.09610222243850519,48.0,0.6269875709322084,P2
P2 TNA,G_spy,FULL,0.46563843079152184,0.6821798636849129,-0.31692500645695176,3.19278363133481,,,,,,,,,,P2
P2 TNA,G_spy,E_bear_2018q4,-2.2336466232150145,,-0.1766311787034629,,,modern_folds,-0.14707804808141822,2018-09-04,2018-10-10,2018-10-10,-0.1766311787034629,27.0,0.9976627127256008,P2
P2 TNA,G_spy,X_2020_covid,1.2239574905629231,,-0.21771406958720374,,,modern_folds,0.2508828517189161,2020-02-20,2020-09-23,2020-02-25,-0.11412788532707818,151.0,0.6872651634719729,P2
P2 TNA,G_spy,B_bear_2022,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 TNA,G_spy,E2011_eu_us,-1.0862406617425349,,-0.30154118356698045,,,market_factor_A0_calendar,-0.22427400629293215,2011-05-10,2011-10-03,2011-06-02,-0.10218621996791333,102.0,0.6534997093321329,P2
P2 TNA,G_spy,E2015_16_china,,,0.0,,,market_factor_A0_calendar,0.0,2015-06-01,2015-06-01,,0.0,1.0,0.0,P2
P2 TNA,G_spy,K2013_14_bull,0.8560623069150285,,-0.16353136425010206,,,calm_controls,0.47441529312523234,2014-01-22,2014-05-15,2014-01-27,-0.09386485975333436,80.0,0.855062235405155,P2
P2 TNA,G_spy,A_bull_2021,0.6277307544440687,,-0.16418533837669602,,,calm_controls,0.15232298087749507,2021-11-08,2021-12-01,2021-11-29,-0.13857905722569175,17.0,0.5502676715000104,P2
P2 TNA,G_spy,D_recent_2025plus,0.5775526972390976,,-0.18465166794673937,,,calm_controls,0.2836323174923632,2025-10-06,2026-03-31,2025-10-13,-0.07461888368298553,122.0,0.5786560641354058,P2
P2 TNA,buy_hold,FULL,0.49468535443424017,0.2705283557505206,-0.8808746736292428,0.0,,,,,,,,,,P2
P2 TNA,buy_hold,E_bear_2018q4,-0.9468419252297239,,-0.6283858181017392,,,modern_folds,-0.3135335073977359,2018-09-04,2018-12-24,,-0.6283858181017392,78.0,1.0,P2
P2 TNA,buy_hold,X_2020_covid,0.6726803792203456,,-0.8480432972522898,,,modern_folds,0.02033626901521224,2020-02-20,2020-03-23,,-0.8480432972522898,23.0,1.0,P2
P2 TNA,buy_hold,B_bear_2022,-0.7653522393924548,,-0.6751184834123222,,,modern_folds,-0.6248159057437407,2022-01-03,2022-09-26,,-0.6751184834123222,184.0,1.0,P2
P2 TNA,buy_hold,E2011_eu_us,-0.4404083974345905,,-0.6956726246472249,,,market_factor_A0_calendar,-0.5268425841674249,2011-05-10,2011-10-03,,-0.6956726246472249,102.0,1.0,P2
P2 TNA,buy_hold,E2015_16_china,-0.5541254491275289,,-0.6264649477945878,,,market_factor_A0_calendar,-0.3395593869731801,2015-06-23,2016-02-11,,-0.6264649477945878,162.0,1.0,P2
P2 TNA,buy_hold,K2013_14_bull,1.2717398088405922,,-0.35796019900497467,,,calm_controls,1.5936657681940756,2014-03-04,2014-10-13,,-0.35796019900497467,156.0,1.0,P2
P2 TNA,buy_hold,A_bull_2021,0.7020249924302705,,-0.34146114471847344,,,calm_controls,0.2787193973634652,2021-11-08,2021-12-20,,-0.34146114471847344,30.0,1.0,P2
P2 TNA,buy_hold,D_recent_2025plus,0.7339154831692152,,-0.5880947208342384,,,calm_controls,0.6729468599033803,2025-01-21,2025-04-08,,-0.5880947208342384,55.0,1.0,P2
P2 EDC,incumbent,FULL,0.23844279520958758,0.13574251382199207,-0.5228348350389247,2.682102077626871,1.9012345679012346,,,,,,,,,P2
P2 EDC,incumbent,E_bear_2018q4,,,0.0,,,modern_folds,0.012274106120414352,2018-09-04,2018-09-04,,0.0,1.0,0.0,P2
P2 EDC,incumbent,X_2020_covid,1.5444925207571887,,-0.1731881723312716,,,modern_folds,0.35913958056960116,2020-02-12,2020-06-11,2020-03-02,-0.13345291440824336,84.0,0.49764782900355903,P2
P2 EDC,incumbent,B_bear_2022,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 EDC,incumbent,E2011_eu_us,-2.0260666390063786,,-0.337142106608306,,,market_factor_A0_calendar,-0.32684517018651305,2011-05-02,2011-09-22,2011-08-09,-0.2756196440424198,101.0,0.5109390665519562,P2
P2 EDC,incumbent,E2015_16_china,0.2862924255387102,,-0.047305074981789264,,,market_factor_A0_calendar,0.012615313351384216,2015-06-01,2016-03-15,,-0.047305074981789264,200.0,0.0,P2
P2 EDC,incumbent,K2013_14_bull,-1.0104220922416225,,-0.26755105872915463,,,calm_controls,-0.22474960515214693,2013-01-02,2013-06-12,2013-03-18,-0.1414282326295332,112.0,0.8637093151852135,P2
P2 EDC,incumbent,A_bull_2021,-0.47461517424340915,,-0.3040629623221782,,,calm_controls,-0.1639540134092583,2021-02-17,2021-11-29,2021-11-29,-0.3040629623221782,199.0,0.4566302884392336,P2
P2 EDC,incumbent,D_recent_2025plus,1.2039728408297206,,-0.22607587804660656,,,calm_controls,0.8735590984462716,2025-02-20,2025-04-08,2025-04-08,-0.22607587804660656,34.0,0.6793319057717853,P2
P2 EDC,E_2s,FULL,0.23844279520958758,0.13574251382199207,-0.5228348350389247,2.682102077626871,1.9012345679012346,,,,,,,,,P2
P2 EDC,E_2s,E_bear_2018q4,,,0.0,,,modern_folds,0.012274106120414352,2018-09-04,2018-09-04,,0.0,1.0,0.0,P2
P2 EDC,E_2s,X_2020_covid,1.5444925207571887,,-0.1731881723312716,,,modern_folds,0.35913958056960116,2020-02-12,2020-06-11,2020-03-02,-0.13345291440824336,84.0,0.49764782900355903,P2
P2 EDC,E_2s,B_bear_2022,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 EDC,E_2s,E2011_eu_us,-2.0260666390063786,,-0.337142106608306,,,market_factor_A0_calendar,-0.32684517018651305,2011-05-02,2011-09-22,2011-08-09,-0.2756196440424198,101.0,0.5109390665519562,P2
P2 EDC,E_2s,E2015_16_china,0.2862924255387102,,-0.047305074981789264,,,market_factor_A0_calendar,0.012615313351384216,2015-06-01,2016-03-15,,-0.047305074981789264,200.0,0.0,P2
P2 EDC,E_2s,K2013_14_bull,-1.0104220922416225,,-0.26755105872915463,,,calm_controls,-0.22474960515214693,2013-01-02,2013-06-12,2013-03-18,-0.1414282326295332,112.0,0.8637093151852135,P2
P2 EDC,E_2s,A_bull_2021,-0.47461517424340915,,-0.3040629623221782,,,calm_controls,-0.1639540134092583,2021-02-17,2021-11-29,2021-11-29,-0.3040629623221782,199.0,0.4566302884392336,P2
P2 EDC,E_2s,D_recent_2025plus,1.2039728408297206,,-0.22607587804660656,,,calm_controls,0.8735590984462716,2025-02-20,2025-04-08,2025-04-08,-0.22607587804660656,34.0,0.6793319057717853,P2
