date,SPY,FCNTX
2021-08-04,553.0314196,33.70044719
2021-08-05,556.5336916,33.92744502
2021-08-06,557.4533529,33.94490639
2021-08-09,556.9998213,33.92744502
2021-08-10,557.6927168,33.84013816
2021-08-11,559.0785079,33.84013816
2021-08-12,560.7540553,33.96236776
2021-08-13,561.7745014,34.06713599
2021-08-16,563.097302,34.13698148
2021-08-17,559.4060585,33.82267679
2021-08-18,553.2833816,33.52583347
2021-08-19,554.1400525,33.6306017
2021-08-20,558.5493877,33.96236776
2021-08-23,563.4626469,34.32905656
2021-08-24,564.357112,34.46874754
2021-08-25,565.5413335,34.53859302
2021-08-26,562.2028368,34.36397931
2021-08-27,567.229479,34.73066811
2021-08-30,569.7239029,35.02751143
2021-08-31,568.8798301,34.97512731
2021-09-01,569.1821846,35.07989554
2021-09-02,570.9333205,35.02751143
2021-09-03,570.7947414,35.11481828
2021-09-07,568.7538491,35.07989554
2021-09-08,568.0609536,34.90528183
2021-09-09,565.6295202,34.76559085
2021-09-10,561.1697926,34.60843851
2021-09-13,562.6059761,34.55605439
2021-09-14,559.5698338,34.45128616
2021-09-15,564.2437291,34.678284
2021-09-16,563.349264,34.71320674
2021-09-17,557.8793199,34.36397931
2021-09-20,548.5771183,33.70044719
2021-09-21,548.058925,33.73536993
2021-09-22,553.4051631,33.85759953
2021-09-23,560.1290371,34.27667245
2021-09-24,561.051674,34.32905656
2021-09-27,559.4465386,34.08459736
2021-09-28,548.1726747,33.14168329
2021-09-29,549.0953116,33.08929918
2021-09-30,542.3840764,32.87976272
2021-10-01,548.8298955,33.17660604
2021-10-04,541.7521334,32.44322843
2021-10-05,547.3890654,32.93214684
2021-10-06,549.6640603,33.15914467
2021-10-07,554.416272,33.40360387
2021-10-08,553.4051631,33.35121975
2021-10-11,549.3986442,33.07183781
2021-10-12,548.0462861,33.03691506
2021-10-13,550.0179484,33.2639129
2021-10-14,559.2695946,33.84013816
2021-10-15,563.5288907,34.08459736
2021-10-18,565.1972204,34.39890205
2021-10-19,569.5576274,34.59097714
2021-10-20,571.7947057,34.60843851
2021-10-21,573.2860913,34.81797497
2021-10-22,572.6920649,34.57351577
2021-10-25,575.7633081,34.73066811
2021-10-26,576.2815014,34.74812948
2021-10-27,573.7284515,34.62589988
2021-10-28,579.2642725,34.95766594
2021-10-29,580.4396866,35.1672024
2021-11-01,581.4381566,35.07989554
2021-11-02,583.7889847,35.20212514
2021-11-03,587.3531435,35.48150709
2021-11-04,590.121054,35.90058001
2021-11-05,592.1685495,35.97042549
