ticker,arm,fold,start,end,days,Sharpe,MaxDD,Martin,Ulcer%,CAGR,TimeIn,OffFrac,Flips/yr
SPY,Buy & hold,FULL,1999-01-27,2026-09-03,6944,0.42114153521968556,-0.5519076395778848,0.5452820431056125,15.836197769908797,0.08635194275000413,1.0,0.0,0.0
SPY,Buy & hold,E_bear_2018q4,2018-09-04,2019-02-28,122,-0.36326100968423153,-0.19346772332076612,-0.7669972487538959,7.969214229417136,-0.061123653886933416,1.0,0.0,0.0
SPY,Buy & hold,X_2020_covid,2020-02-03,2020-12-31,232,0.6898896052536961,-0.33717009273069154,1.8966374461037052,10.604383570471995,0.20112670972604096,1.0,0.0,0.0
SPY,Buy & hold,B_bear_2022,2022-01-03,2022-12-30,251,-0.7624118230643652,-0.24496106785317096,-1.21132774252496,15.057066082463114,-0.18239041866719186,1.0,0.0,0.0
SPY,Buy & hold,K_bull_2013_14,2013-01-02,2014-12-31,504,1.877417564787742,-0.07272286528089233,13.106193466831915,1.718791971738975,0.225268201108485,1.0,0.0,0.0
SPY,Buy & hold,A_bull_2021,2021-01-04,2021-12-31,252,2.009568947090925,-0.051159167099484426,19.43175074823723,1.4782884682557307,0.2872573304913877,1.0,0.0,0.0
SPY,Buy & hold,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.4529897452536387,-0.09976193175376957,9.606917133890514,2.669002771461786,0.256408884555575,1.0,0.0,0.0
SPY,Buy & hold,D_recent_2025plus,2025-01-02,2026-09-03,419,0.8195963655275866,-0.18754770834024748,4.700879062981617,3.966424628037595,0.1864568248883658,1.0,0.0,0.0
SPY,trend rolling 1260,FULL,1999-01-27,2026-09-03,6944,0.6345803903917503,-0.18613348676639785,1.7067584909927498,5.29755776546647,0.09041651697734476,0.6418490783410138,0.3581509216589862,1.5241935483870968
SPY,trend rolling 1260,E_bear_2018q4,2018-09-04,2019-02-28,122,-1.4418318243686765,-0.0687081634223281,-1.6742709555869764,4.952831849985747,-0.08292382514337249,0.28688524590163933,0.7131147540983607,2.0655737704918034
SPY,trend rolling 1260,X_2020_covid,2020-02-03,2020-12-31,232,0.8906197357659956,-0.1318117757804873,2.072600949810245,7.908242560707082,0.16390631042651305,0.75,0.25,2.1724137931034484
SPY,trend rolling 1260,B_bear_2022,2022-01-03,2022-12-30,251,-2.179512128811603,-0.0937214238042271,-0.8628570943644459,8.926277823972383,-0.07702102146682599,0.06772908366533864,0.9322709163346614,1.00398406374502
SPY,trend rolling 1260,K_bull_2013_14,2013-01-02,2014-12-31,504,1.594151669874192,-0.07272286528089233,7.428902347144027,2.3571228959358463,0.17510835814124737,0.9007936507936508,0.09920634920634919,0.5
SPY,trend rolling 1260,A_bull_2021,2021-01-04,2021-12-31,252,2.009568947090925,-0.051159167099484426,19.43175074823723,1.4782884682557307,0.2872573304913877,1.0,0.0,0.0
SPY,trend rolling 1260,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.1207278438515558,-0.08405219282348686,7.773157870276906,2.128341289189149,0.1654393284269593,0.6414342629482072,0.35856573705179284,1.5059760956175299
SPY,trend rolling 1260,D_recent_2025plus,2025-01-02,2026-09-03,419,0.914436089068064,-0.1003451594703132,4.631064960163887,3.4732533066252658,0.16084861686085627,0.9116945107398569,0.08830548926014314,2.4057279236276847
SPY,trend expanding,FULL,1999-01-27,2026-09-03,6944,0.5244465752442318,-0.2796506334960023,1.1315956836860102,7.366678969523523,0.08336102125013323,0.754176267281106,0.24582373271889402,1.161290322580645
SPY,trend expanding,E_bear_2018q4,2018-09-04,2019-02-28,122,-1.6835915112905215,-0.1451659074719961,-2.1533716626756716,9.781331930279281,-0.21062843001888132,0.7540983606557377,0.24590163934426235,4.131147540983607
SPY,trend expanding,X_2020_covid,2020-02-03,2020-12-31,232,0.32191275025606286,-0.2796506334960024,0.3517904531526976,15.623801534985649,0.05496304221960413,0.9008620689655172,0.09913793103448276,2.1724137931034484
SPY,trend expanding,B_bear_2022,2022-01-03,2022-12-30,251,-1.378385499727851,-0.18279094742058777,-1.2464136109276154,13.64530083935226,-0.1700768869137067,0.3904382470119522,0.6095617529880478,3.0119521912350598
SPY,trend expanding,K_bull_2013_14,2013-01-02,2014-12-31,504,1.877417564787742,-0.07272286528089233,13.106193466831915,1.718791971738975,0.225268201108485,1.0,0.0,0.0
SPY,trend expanding,A_bull_2021,2021-01-04,2021-12-31,252,2.009568947090925,-0.051159167099484426,19.43175074823723,1.4782884682557307,0.2872573304913877,1.0,0.0,0.0
SPY,trend expanding,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.3969395154222646,-0.09976193175376968,9.30090719768519,2.3555148777728085,0.21908425280931665,0.8187250996015937,0.18127490039840632,0.50199203187251
SPY,trend expanding,D_recent_2025plus,2025-01-02,2026-09-03,419,0.42081052593111945,-0.2271342796039687,1.343788771430978,7.405245624558186,0.09951085919969671,0.9856801909307876,0.014319809069212375,2.4057279236276847
SPY,trend hybrid,FULL,1999-01-27,2026-09-03,6944,0.5753397539090782,-0.2349362961629411,1.131434511509981,7.621055874509748,0.08622725630566208,0.6831797235023042,0.31682027649769584,1.596774193548387
SPY,trend hybrid,E_bear_2018q4,2018-09-04,2019-02-28,122,-1.6789660306964704,-0.09717627144725682,-1.8955798079475106,7.025485154634986,-0.13317367800161073,0.3360655737704918,0.6639344262295082,2.0655737704918034
SPY,trend hybrid,X_2020_covid,2020-02-03,2020-12-31,232,1.048814837672102,-0.18948187536476213,3.0696067364759156,7.696544897710831,0.23625366065602504,0.8663793103448276,0.13362068965517238,2.1724137931034484
SPY,trend hybrid,B_bear_2022,2022-01-03,2022-12-30,251,-1.4635634418438725,-0.1810184210787632,-1.043203435898318,13.740790660200963,-0.1433444002868116,0.2868525896414343,0.7131474103585658,5.0199203187251
SPY,trend hybrid,K_bull_2013_14,2013-01-02,2014-12-31,504,1.877417564787742,-0.07272286528089233,13.106193466831915,1.718791971738975,0.225268201108485,1.0,0.0,0.0
SPY,trend hybrid,A_bull_2021,2021-01-04,2021-12-31,252,2.009568947090925,-0.051159167099484426,19.43175074823723,1.4782884682557307,0.2872573304913877,1.0,0.0,0.0
SPY,trend hybrid,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.167843580170981,-0.09976193175376935,7.878646588131533,2.3523737615518097,0.18533521510460305,0.7749003984063745,0.22509960159362552,0.50199203187251
SPY,trend hybrid,D_recent_2025plus,2025-01-02,2026-09-03,419,1.1181943937346646,-0.1003451594703132,6.136505326004188,3.147320388234318,0.19313548325041463,0.9212410501193318,0.07875894988066823,1.2028639618138424
SPY,risk rolling 1260,FULL,1999-01-27,2026-09-03,6944,0.4393710529950068,-0.31682119205297943,0.9147488378694738,6.704615774805772,0.06133039488364922,0.5092165898617511,0.4907834101382489,0.5443548387096774
SPY,risk rolling 1260,E_bear_2018q4,2018-09-04,2019-02-28,122,,0.0,inf,0.0,0.02551891198769396,0.0,1.0,0.0
SPY,risk rolling 1260,X_2020_covid,2020-02-03,2020-12-31,232,,0.0,inf,0.0,0.004463155962711518,0.0,1.0,0.0
SPY,risk rolling 1260,B_bear_2022,2022-01-03,2022-12-30,251,,0.0,inf,0.0,0.01293306058653898,0.0,1.0,0.0
SPY,risk rolling 1260,K_bull_2013_14,2013-01-02,2014-12-31,504,1.877417564787742,-0.07272286528089233,13.106193466831915,1.718791971738975,0.225268201108485,1.0,0.0,0.0
SPY,risk rolling 1260,A_bull_2021,2021-01-04,2021-12-31,252,,0.0,,0.0,0.0,0.0,1.0,0.0
SPY,risk rolling 1260,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.0577158651055372,-0.09976193175377002,7.222906663155914,2.344982806174338,0.16937591935702678,0.7350597609561753,0.2649402390438247,0.50199203187251
SPY,risk rolling 1260,D_recent_2025plus,2025-01-02,2026-09-03,419,0.20936069090470036,-0.18754770834024748,0.8820463137990739,7.636154233914476,0.06735441693625455,0.8138424821002387,0.18615751789976132,1.2028639618138424
SPY,risk expanding,FULL,1999-01-27,2026-09-03,6944,0.33783999055677144,-0.29824691896647726,0.47898474402328156,10.913380276198643,0.05227342658023737,0.5184331797235023,0.48156682027649766,0.689516129032258
SPY,risk expanding,E_bear_2018q4,2018-09-04,2019-02-28,122,-1.7925363298158639,-0.19346772332076612,-2.464503308379131,10.419090896918304,-0.25677883985758043,0.6557377049180327,0.34426229508196726,2.0655737704918034
SPY,risk expanding,X_2020_covid,2020-02-03,2020-12-31,232,-1.1870394693610247,-0.29131344595032715,-0.9946894614460795,27.4205296169279,-0.2727491183722829,0.13793103448275862,0.8620689655172413,1.0862068965517242
SPY,risk expanding,B_bear_2022,2022-01-03,2022-12-30,251,-0.4533874693964959,-0.12865406006674107,-0.6758081374313442,6.083636399757586,-0.04111370984129703,0.26693227091633465,0.7330677290836654,1.00398406374502
SPY,risk expanding,K_bull_2013_14,2013-01-02,2014-12-31,504,1.877417564787742,-0.07272286528089233,13.106193466831915,1.718791971738975,0.225268201108485,1.0,0.0,0.0
SPY,risk expanding,A_bull_2021,2021-01-04,2021-12-31,252,1.3973461147630817,-0.0511591670994852,10.670275857712616,1.208686721171697,0.12897020740456178,0.5317460317460317,0.46825396825396826,1.0
SPY,risk expanding,C_mixed_2023_24,2023-01-03,2024-12-31,502,1.0365343013378818,-0.09976193175376946,7.091984134233771,2.3444015943069867,0.16626458911097508,0.7171314741035857,0.2828685258964143,0.50199203187251
SPY,risk expanding,D_recent_2025plus,2025-01-02,2026-09-03,419,0.07843918976664788,-0.18754770834024748,0.48622588828500163,9.214781627922546,0.04480465382388954,0.7613365155131265,0.23866348448687347,1.2028639618138424
SPY,risk hybrid,FULL,1999-01-27,2026-09-03,6944,0.45074094568488043,-0.19346772332076667,0.9390680254476744,6.544777132175595,0.06145990938507229,0.5165610599078341,0.4834389400921659,0.6169354838709677
