vehicle,arm,Sharpe,Martin,MaxDD,CAGR,MeanW,fastMaxDD
P0,incumbent,0.6000682581147649,1.184939619974874,-0.30925589783833873,0.07584971353337155,0.5236055708031601,-0.07336516500717494
P0,H_parity,0.6039790812039639,1.8235085286044903,-0.1565254211605911,0.05358553289480161,0.2574651729677401,-0.03545853801608351
P0,incumbent x0.5,0.5988280975896038,1.7720881288878618,-0.16530092074151104,0.05385681968529221,0.26180278540158003,-0.03621528975829086
P0,incumbent x0.49,0.5988280975896039,1.7915669525105937,-0.16273475718125874,0.05348502845244285,0.2574651729677401,-0.03559035538153299
SPY,incumbent,0.5601905849574929,1.5078832448133084,-0.11175579417970649,0.06339514965204929,0.502644140707619,-0.0718657243374376
SPY,H_parity,0.5499078327221573,2.3397108557256914,-0.05544712562585563,0.041767948334628935,0.2479314760216104,-0.03517414554222692
SPY,incumbent x0.5,0.5586824128387339,2.3579890824949583,-0.05688502859063116,0.042527784742021346,0.2513220703538095,-0.03589673286442635
SPY,incumbent x0.49,0.5586824128387337,2.381636447863812,-0.056129704507045686,0.042239605402009106,0.24793147602161042,-0.035404422194512564
QQQ,incumbent,0.8076248430426127,2.3751473069951006,-0.10081139971791064,0.08613017735684014,0.4488509514131246,-0.0834705046586608
QQQ,H_parity,0.7989790147209657,3.210566402535421,-0.04595062831444319,0.05141582239429243,0.2213937560306549,-0.04060448399914235
QQQ,incumbent x0.5,0.8051421546690497,3.2391464503940304,-0.04759613664925044,0.05230243233270282,0.2244254757065623,-0.041511713209166856
QQQ,incumbent x0.49,0.8051421546690496,3.2635790220400733,-0.046859096651998056,0.05184272035020343,0.22139375603065495,-0.04093832584699808
XLK,incumbent,0.6720370446330262,1.7875989344048528,-0.10402299929382008,0.07464394972243915,0.45950805127897576,-0.09073152400441259
XLK,H_parity,0.6617953043612824,2.5730144878406156,-0.04831406451757003,0.04589944829611681,0.2261613618096697,-0.04389591093989059
XLK,incumbent x0.5,0.6693797524608321,2.5917671695414874,-0.04985033527058291,0.04678084699817853,0.22975402563948788,-0.04506253231289026
XLK,incumbent x0.49,0.6693797524608324,2.6186611964549313,-0.04904161020308473,0.0463391846565262,0.22616136180966961,-0.0443349739898361
IWM,incumbent,0.327280128351165,0.7548376856080877,-0.12598831450929304,0.03898696271574309,0.3092269803258615,-0.08340760201672642
IWM,H_parity,0.3147654419030287,1.3057121746984346,-0.06135662316315704,0.02784859183471422,0.15194231365642685,-0.03945653059983745
IWM,incumbent x0.5,0.32460199871367695,1.3191594369083677,-0.06348720030280808,0.02844895497890798,0.15461349016293074,-0.041186431594867345
IWM,incumbent x0.49,0.32460199871367684,1.340563230648123,-0.062413485220892295,0.028258841531801027,0.15194231365642688,-0.040442180947748485
EFA,incumbent,0.2707570744097055,0.44875885183937575,-0.1677418560517081,0.033278775633935,0.4302037795838273,-0.0652755498409161
