vehicle,arm,episode,Sharpe,CAGR,Martin,MaxDD,MeanW,Turnover/yr,group,Return,peak,trough,react_day,DD_before_reaction,days_peak_to_trough,w_at_peak,panel
P2 TECL,H_parity,E2015_16_china,-0.958863849429669,,,-0.046581934910280065,,,market_factor_A0_calendar,-0.03222002814791047,2015-06-01,2015-11-13,2015-06-18,-0.026682581076285072,118.0,0.3549077042799295,P2
P2 TECL,H_parity,K2013_14_bull,0.9852364169950253,,,-0.0684656933776654,,,calm_controls,0.24047293863929275,2013-05-17,2013-06-24,,-0.0684656933776654,26.0,0.35875184484442013,P2
P2 TECL,H_parity,A_bull_2021,1.0043101617741264,,,-0.082258334115352,,,calm_controls,0.14663462401227845,2021-08-30,2021-11-01,2021-10-05,-0.0819209144185159,45.0,0.4391054634312159,P2
P2 TECL,H_parity,D_recent_2025plus,0.9807925811970467,,,-0.11403757244174051,,,calm_controls,0.32443705912971765,2025-10-29,2026-03-30,,-0.11403757244174051,104.0,0.26389021544106883,P2
P2 TECL,H_full,FULL,0.7167291424080474,0.15744668431527953,1.3044986183578244,-0.2624115218534391,0.3745700154359998,4.373150827121363,,,,,,,,,P2
P2 TECL,H_full,E_bear_2018q4,-1.8688270511583571,,,-0.21034233210062325,,,modern_folds,-0.18202519357823144,2018-10-03,2018-10-25,2018-10-11,-0.20050056760313495,17.0,0.8958609752258959,P2
P2 TECL,H_full,X_2020_covid,0.7084749880129909,,,-0.21545207792405108,,,modern_folds,0.1401593615848673,2020-02-19,2020-04-21,2020-02-28,-0.16961136625566164,44.0,0.49421266591881774,P2
P2 TECL,H_full,B_bear_2022,-1.1918932675457288,,,-0.06384588738249775,,,modern_folds,-0.04276342003648137,2022-01-03,2022-01-14,2022-01-14,-0.06384588738249775,10.0,0.3346206268061379,P2
P2 TECL,H_full,E2011_eu_us,-1.0748236231866262,,,-0.18637657515361206,,,market_factor_A0_calendar,-0.1561882684828274,2011-05-10,2011-10-03,2011-08-03,-0.14391408547631113,102.0,0.6609953792814808,P2
P2 TECL,H_full,E2015_16_china,-1.0037375383478102,,,-0.08909533561745919,,,market_factor_A0_calendar,-0.06384936549926123,2015-06-01,2015-11-13,2015-06-18,-0.05146810135466551,118.0,0.6969374006490064,P2
P2 TECL,H_full,K2013_14_bull,0.8896607321468576,,,-0.12755459302728078,,,calm_controls,0.39588111750425603,2014-01-15,2014-02-03,,-0.12755459302728078,13.0,0.9719225148795456,P2
P2 TECL,H_full,A_bull_2021,0.9191550810550272,,,-0.154061158549197,,,calm_controls,0.24091174736627163,2021-08-30,2021-11-01,2021-09-29,-0.13438585526087332,45.0,0.878210926862432,P2
P2 TECL,H_full,D_recent_2025plus,0.9130103642305353,,,-0.21612659160299708,,,calm_controls,0.4899643939230307,2025-10-29,2026-03-30,2026-02-13,-0.17353220948988002,104.0,0.5277804308821377,P2
P2 TECL,buy_hold,FULL,0.8776473890016596,0.4556135437065867,1.7344917823553616,-0.7795820895522384,1.0,0.0,,,,,,,,,P2
P2 TECL,buy_hold,E_bear_2018q4,-0.407003453094156,,,-0.5964125560538114,,,modern_folds,-0.27449707981829896,2018-10-03,2018-12-24,,-0.5964125560538114,57.0,1.0,P2
