year,selected,selection Sharpe
2011,joint3f K=4 λ=20,1.078
2012,cells r10/t2,0.998
2013,cells r20/t2,0.927
2014,cells r20/t2,0.836
2015,cells r20/t2,0.788
2016,cells r50/t2,0.721
2017,cells r20/t20,0.728
2018,cells r20/t20,0.729
2019,cells r20/t20,0.716
2020,cells r20/t20,0.704
2021,cells r20/t20,0.725
2022,cells r20/t20,0.699
2023,cells r20/t20,0.674
2024,cells r20/t20,0.652
2025,cells r20/t20,0.691
2026,cells r20/t20,0.646
