EFA,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr
Buy & hold,0.07183334480259829,0.18346590008242333,0.39361475150017466,-0.3418744625967327,9.724219552294771,0.7399760126953162,1.0,0.0
fixed risk λ=50,0.012677885289535507,0.15440287900915922,0.06765894371913671,-0.5045023382682411,26.633556634038225,0.047680763083469316,0.711354961832061,0.9618320610687022
fixed trend λ=5,0.0539158503945949,0.13997737922757666,0.3446101414526654,-0.25856464116029,9.727173464455019,0.5552261359258266,0.6677003816793893,0.9618320610687022
fixed graded r50/t5,0.03483717236720296,0.1356289229069861,0.21634115407770232,-0.3502241792708707,17.510102757618316,0.19929096884549488,0.6895276717557252,0.9618320610687022
fixed gate r50/t5,0.04693544945449002,0.1272909322180429,0.3133301338003972,-0.31163281138788623,10.090778621164876,0.4659228052361157,0.5961354961832062,0.9618320610687022
fixed and r50/t5,0.03882642426400951,0.12277734324677111,0.2568042347234122,-0.3724655682159257,12.035174319101664,0.3231542199709161,0.5245706106870229,0.9618320610687022
fixed or r50/t5,0.027387492002688196,0.16841150699771243,0.16124482026684034,-0.5124709628535247,27.04853954386946,0.10142364759831168,0.8544847328244275,0.9618320610687022
cells r50/t5 (annual sizing),0.01991011650011143,0.12357210795796753,0.10691432511591098,-0.38579050363474154,17.41880233075826,0.11449423954510184,0.5465573107181194,1.269984793958615
joint2f K=2 λ=5 (annual sizing),0.03441623882486389,0.1283111539364211,0.21798980761914044,-0.2980417535215131,15.003033574549871,0.22978284011944303,0.642016634591557,0.9488445732257512
joint3f K=4 λ=5 (annual sizing),0.02760730982228976,0.1137414392540141,0.17209535342253207,-0.35485724185963774,18.089982696621902,0.15286807547899603,0.39174786052264265,3.6819158965534404
selected annually (all candidates),0.029034149500533957,0.10871673825347597,0.18768352797315369,-0.2822759097393649,10.21019944396911,0.2848434575867425,0.40508473399955763,2.953885375223177
