GLD,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr
Buy & hold,0.06890109430912572,0.16587876611839125,0.3815646691149513,-0.3859595527586004,19.789158847305888,0.34882216316952286,1.0,0.0
fixed risk λ=50,0.03836808008729298,0.11252455657153483,0.23808678181920834,-0.3845005157929263,19.807474460961508,0.19405943130622907,0.5706806282722513,0.9528795811518325
fixed trend λ=5,0.05685059188034436,0.12787318659083935,0.3623225860860144,-0.2446460980036289,11.905793277476642,0.4783848626536241,0.5287958115183246,1.9790575916230366
fixed graded r50/t5,0.04949308471278413,0.10425094981937004,0.3507620981579732,-0.2532960071561092,12.724174632917387,0.38968429827570594,0.5497382198952879,1.4659685863874345
fixed gate r50/t5,0.049548346407692234,0.097510295630563,0.36854820368526514,-0.17945893740835206,8.073708177686171,0.6148287162674054,0.4309191390343223,1.942408376963351
fixed and r50/t5,0.03990073830472185,0.08500868828888694,0.30038344915861215,-0.17945893740835206,8.139292796879346,0.4911211455943291,0.33304246655031994,1.905759162303665
fixed or r50/t5,0.055292952112840243,0.14760299034959937,0.3224174142162026,-0.3845005157929263,20.884873816639214,0.2652394462452279,0.766433973240256,1.0261780104712042
cells r50/t5 (annual sizing),0.015081145479758806,0.11131471116174022,0.03516044233714199,-0.3582100754672388,22.215158651546176,0.06800953115981148,0.5156474572527416,2.345786451116909
joint2f K=2 λ=5 (annual sizing),0.01909376027662968,0.12058344635470648,0.07423871754238477,-0.3538676470946889,22.29359266832345,0.08580208104925502,0.5746177406508262,1.1579624866761065
joint3f K=4 λ=5 (annual sizing),0.04625900968022756,0.10844133355948252,0.3129206478558897,-0.256369967113517,14.03685456003545,0.3301591321775653,0.33273482315905006,4.1736567903385255
selected annually (all candidates),0.03366566997471665,0.07980169213911219,0.2389810482044232,-0.19576941934580006,9.98489608723025,0.3377813855312639,0.265133177803612,1.5965198647849517
