year,selected,selection Sharpe
2013,cells r20/t5,1.311
2014,joint2f K=4 λ=20,1.004
2015,joint2f K=4 λ=20,0.873
2016,joint2f K=4 λ=20,0.783
2017,joint2f K=4 λ=20,0.692
2018,joint2f K=4 λ=20,0.76
2019,joint2f K=4 λ=20,0.711
2020,joint2f K=4 λ=20,0.715
2021,joint2f K=4 λ=5,0.709
2022,joint2f K=4 λ=5,0.697
2023,joint2f K=4 λ=5,0.727
2024,joint2f K=4 λ=5,0.694
2025,joint2f K=4 λ=5,0.674
2026,joint2f K=4 λ=5,0.805
