EEM,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr
Buy & hold,0.062103951819178604,0.20410097284814163,0.3193005563578848,-0.39812829011503204,17.027611410127573,0.36554026461682326,1.0,0.0
fixed risk λ=50,0.02655175765123241,0.1701189252586187,0.14482085706590703,-0.42746979859665213,18.43495458224884,0.144345965991886,0.7803687635574837,0.7516268980477223
fixed trend λ=5,0.051545585417005046,0.13025416530432102,0.32816008697121996,-0.2982856484510864,13.38120901257049,0.3860655462027547,0.5084056399132321,2.5281995661605206
fixed graded r50/t5,0.04193665667970037,0.13140343981139876,0.2563910250973422,-0.28129654998777476,13.495868407619243,0.31142502120387294,0.6443872017353579,1.6399132321041214
fixed gate r50/t5,0.0451707719897354,0.1137115776725396,0.30451347002452406,-0.20771155073433833,11.417486966124264,0.39650530515350935,0.44699023861171366,2.4940347071583515
fixed and r50/t5,0.03743729080046654,0.10763918375175652,0.24627347416015016,-0.20771155073433833,10.711238980766138,0.35028631642372227,0.3855748373101952,2.4598698481561825
fixed or r50/t5,0.04051201796238324,0.18525831582665753,0.22061815138132293,-0.47041994704932644,22.4044557302008,0.18122134892478178,0.9031995661605207,0.8199566160520607
cells r50/t5 (annual sizing),0.0339881636222481,0.09991481192878837,0.2242575525519376,-0.18925161507131993,4.6563938281471975,0.7315346080672034,0.28218626295368393,1.2212099661299287
joint2f K=2 λ=5 (annual sizing),0.047380861702613464,0.15699949595220444,0.2717045660030554,-0.3442057833420866,11.537301416525516,0.4115870861581951,0.6222025404308738,0.6964285522936638
joint3f K=4 λ=5 (annual sizing),0.04620536479356141,0.116874569227104,0.3083161499825135,-0.3031625848520034,11.72421133435672,0.39497649555142644,0.2947693329012341,3.3365331890528163
selected annually (all candidates),0.048020929882340635,0.11454482853068583,0.3272767885750732,-0.20099650710553418,4.701417742476207,1.0236819362541003,0.2667329490268796,1.2725416660368865
