TLT,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr
Buy & hold,0.01950608567347012,0.14840396911373696,0.10288895314888961,-0.48353967360720285,22.54618662955375,0.08668966773103946,1.0,0.0
fixed risk λ=50,0.01658624490226912,0.09659031537479112,0.06271758473443853,-0.21051004269762785,10.114933098267283,0.16430626482142333,0.6182741116751269,0.7035532994923858
fixed trend λ=5,0.029671801892455107,0.10083204275809068,0.19119066108220653,-0.2067049770883268,11.803151781285376,0.25189558310863897,0.40939086294416244,1.53502538071066
fixed graded r50/t5,0.024676242979635443,0.0817012010744063,0.1550568784946708,-0.160043997002289,9.013793396937473,0.2743114559383008,0.5138324873096447,1.119289340101523
fixed gate r50/t5,0.015212578274297783,0.0724176475950147,0.036662580308382216,-0.2067049770883268,10.80001640525049,0.14113895195716852,0.325,1.5670050761421321
fixed and r50/t5,-0.000676009816384826,0.06003390947502483,-0.23272345879867926,-0.20670497708832702,12.730971895268326,-0.005320507982717113,0.24060913705583756,1.598984771573604
fixed or r50/t5,0.04745828264892826,0.12604536217664952,0.31183232793222365,-0.2134214969048962,10.368480645388921,0.4586474702126074,0.7870558375634518,0.6395939086294417
cells r50/t5 (annual sizing),-0.0011765024606199548,0.07785874136801545,-0.17012882487441836,-0.3642916067220259,15.431731482501169,-0.00763905473939009,0.31966228925379103,1.4557044966976798
joint2f K=2 λ=5 (annual sizing),0.009276189107035648,0.12944083613841537,0.019544062797944062,-0.47227635016873526,21.07902835611091,0.04409455285007271,0.720578668765177,0.6311437233204008
joint3f K=4 λ=5 (annual sizing),0.01154001374511382,0.06445461446788683,-0.023601459983757945,-0.19757817795271027,10.737301882552144,0.10769066770001232,0.2854548886126944,2.3000976995276274
selected annually (all candidates),0.04231506871836488,0.0806728524460941,0.36807896352760444,-0.14464962429741002,6.240290639317901,0.6794698393254223,0.3619467243697295,1.665330342377467
